CensusTract,ValueType,Total:,Total:!!Not Hispanic or Latino:,Total:!!Not Hispanic or Latino:!!White alone,Total:!!Not Hispanic or Latino:!!Black or African American alone,Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone,Total:!!Not Hispanic or Latino:!!Asian alone,Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Not Hispanic or Latino:!!Some other race alone,Total:!!Not Hispanic or Latino:!!Two or more races:,Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race and three or more races,Total:!!Hispanic or Latino:,Total:!!Hispanic or Latino:!!White alone,Total:!!Hispanic or Latino:!!Black or African American alone,Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone,Total:!!Hispanic or Latino:!!Asian alone,Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Hispanic or Latino:!!Some other race alone,Total:!!Hispanic or Latino:!!Two or more races:,Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race,Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race and three or more races
Census Tract 20.13,Margin of Error,±579,±583,±446,±385,±20,±103,±13,±40,±134,±15,±134,±72,±115,±13,±13,±13,±13,±75,±12,±12,±13
Census Tract 20.15,Estimate,5228,3862,2048,1360,0,147,0,0,307,17,290,1366,699,0,24,0,0,592,51,0,51
Census Tract 20.15,Margin of Error,±625,±581,±361,±499,±19,±99,±19,±19,±192,±28,±190,±401,±331,±19,±40,±19,±19,±416,±67,±19,±67
Census Tract 20.19,Estimate,4669,4625,3357,619,0,565,0,7,77,0,77,44,44,0,0,0,0,0,0,0,0
Census Tract 20.19,Margin of Error,±481,±490,±479,±371,±13,±258,±13,±14,±53,±13,±53,±76,±76,±13,±13,±13,±13,±13,±13,±13,±13
Census Tract 20.20,Estimate,9333,9141,5114,2410,37,1091,0,7,482,65,417,192,91,0,0,0,0,46,55,55,0
Census Tract 20.20,Margin of Error,±1438,±1422,±883,±1315,±65,±441,±19,±13,±255,±105,±232,±131,±104,±19,±19,±19,±19,±36,±53,±53,±19
Census Tract 20.21,Estimate,4836,3988,2446,1116,0,355,0,9,62,0,62,848,307,0,0,0,0,533,8,8,0
Census Tract 20.21,Margin of Error,±567,±560,±517,±598,±13,±206,±13,±20,±69,±13,±69,±458,±290,±13,±13,±13,±13,±386,±15,±15,±13
Census Tract 20.22,Estimate,4250,4019,1756,1577,0,378,0,227,81,12,69,231,60,69,0,0,0,102,0,0,0
Census Tract 20.22,Margin of Error,±527,±502,±224,±414,±13,±252,±13,±294,±60,±18,±63,±164,±59,±86,±13,±13,±13,±110,±13,±13,±13
Census Tract 20.23,Estimate,2931,2870,1883,688,0,188,0,22,89,9,80,61,61,0,0,0,0,0,0,0,0
Census Tract 20.23,Margin of Error,±334,±339,±272,±219,±13,±159,±13,±24,±81,±14,±80,±49,±49,±13,±13,±13,±13,±13,±13,±13,±13
Census Tract 20.24,Estimate,5827,5616,4206,947,0,247,0,50,166,12,154,211,82,0,0,0,0,22,107,107,0
Census Tract 20.24,Margin of Error,±447,±459,±411,±312,±19,±141,±19,±121,±117,±19,±114,±157,±54,±19,±19,±19,±19,±27,±144,±144,±19
